iter	Passed	Remaining
398	2278	3431
399	2279	3419
400	2280	3407
401	2282	3395
402	2283	3383
403	2285	3371
404	2286	3359
405	2288	3347
406	2289	3335
407	2291	3324
408	2292	3312
409	2293	3301
410	2295	3289
411	2296	3277
412	2299	3267
413	2300	3256
414	2301	3244
415	2303	3233
416	2304	3221
417	2306	3211
418	2308	3200
419	2309	3189
420	2310	3178
421	2312	3167
422	2314	3156
423	2315	3145
424	2316	3134
425	2318	3123
426	2319	3112
427	2321	3102
428	2323	3092
429	2324	3081
430	2326	3071
431	2328	3061
432	2329	3050
433	2331	3040
434	2332	3029
435	2333	3018
436	2335	3008
437	2337	2999
438	2338	2988
439	2340	2978
440	2341	2968
441	2343	2957
442	2344	2947
443	2345	2937
444	2347	2927
445	2348	2917
446	2350	2907
447	2352	2898
448	2353	2888
449	2354	2878
450	2356	2868
451	2357	2858
452	2358	2848
453	2360	2838
454	2361	2829
455	2363	2819
456	2364	2809
457	2366	2800
458	2368	2791
459	2370	2782
460	2371	2772
461	2372	2763
462	2374	2753
463	2375	2744
464	2377	2734
465	2378	2725
466	2379	2716
467	2381	2707
468	2383	2698
469	2384	2689
470	2385	2679
471	2387	2670
472	2388	2661
473	2389	2652
474	2391	2643
475	2392	2633
476	2394	2624
477	2395	2616
478	2397	2607
479	2399	2599
480	2400	2590
481	2401	2581
482	2403	2572
483	2404	2563
484	2406	2555
485	2407	2546
486	2408	2537
487	2410	2529
488	2412	2521
489	2414	2512
490	2415	2504
491	2416	2495
492	2418	2486
493	2419	2478
494	2421	2469
495	2422	2461
496	2423	2452
497	2425	2445
498	2427	2437
499	2428	2428
500	2430	2420
501	2432	2412
502	2434	2405
503	2435	2396
504	2436	2388
505	2438	2380
506	2440	2372
507	2442	2365
508	2443	2357
509	2444	2349
510	2446	2341
511	2447	2333
512	2449	2325
513	2450	2317
514	2451	2309
515	2453	2301
516	2454	2293
517	2456	2286
518	2458	2278
519	2459	2270
520	2461	2262
521	2462	2254
522	2463	2247
523	2465	2239
524	2466	2231
525	2468	2224
526	2469	2216
527	2471	2209
528	2472	2201
529	2474	2194
530	2475	2186
531	2476	2178
532	2478	2171
533	2479	2163
534	2481	2156
535	2482	2149
536	2484	2141
537	2485	2134
538	2487	2127
539	2489	2120
540	2490	2112
541	2491	2105
542	2493	2098
543	2494	2091
544	2496	2083
545	2497	2076
546	2498	2069
547	2500	2062
548	2502	2055
549	2504	2048
550	2505	2041
551	2506	2034
